1000 2000
0 1 6
0 2 25
0 4 10
0 37 66
0 674 19
0 257 97
1 23 73
1 24 89
1 93 78
1 102 2
2 3 58
2 6 39
2 9 6
2 10 25
2 17 62
2 29 22
2 117 6
2 440 54
3 8 69
3 16 56
3 62 81
3 123 30
3 699 13
4 5 80
4 22 38
4 260 46
4 586 60
5 7 61
5 14 47
5 20 77
5 56 91
5 367 72
5 518 21
5 611 89
5 319 90
5 416 27
6 11 71
6 25 95
6 834 60
6 500 4
7 15 81
7 43 22
7 52 1
7 195 19
7 245 31
7 289 19
8 21 90
8 59 53
8 87 19
8 393 39
8 415 79
9 88 55
9 562 41
9 714 77
9 906 21
10 35 74
10 605 18
10 232 53
11 12 33
11 34 1
11 77 64
11 136 78
11 346 98
11 563 92
12 13 72
12 26 64
12 91 93
12 94 49
12 478 96
12 127 40
12 351 44
13 18 68
13 36 76
13 51 69
13 67 93
13 118 70
13 442 20
13 708 86
13 733 46
13 165 67
14 30 97
14 44 6
14 96 2
14 227 29
14 474 80
14 963 86
16 19 3
16 31 50
16 58 93
16 98 32
16 248 28
16 441 2
16 591 9
16 660 59
17 33 27
17 42 71
17 48 18
17 49 7
17 508 94
17 340 87
17 457 42
18 41 91
18 46 6
18 61 42
18 76 62
18 121 1
18 125 46
18 193 62
18 585 83
18 565 62
19 40 29
19 133 79
19 147 1
19 198 2
19 242 47
19 272 38
19 336 70
19 800 54
20 197 32
20 304 47
21 27 69
21 169 75
21 255 73
21 313 80
21 584 37
21 953 8
21 510 5
22 85 51
22 173 31
22 256 73
22 878 24
22 143 99
23 55 42
23 78 59
23 79 23
23 82 83
23 156 42
23 223 67
23 522 67
23 760 77
24 32 52
24 80 73
24 258 41
24 968 81
24 706 22
24 235 81
25 107 18
26 70 57
26 144 35
26 792 26
26 108 78
27 28 66
27 241 14
27 345 28
27 227 78
28 71 42
28 127 88
28 129 63
28 153 74
28 178 8
28 871 28
29 38 65
29 314 95
29 662 61
29 633 29
30 521 69
30 934 94
30 159 80
31 89 59
31 113 8
32 66 3
32 69 81
32 157 24
32 515 16
32 554 98
