10000 20000
0 1 24
0 2 13
0 4 90
0 11 78
0 65 12
0 107 99
0 1426 10
0 1446 62
0 3196 80
0 810 6
1 3 21
1 6 59
1 8 8
1 15 76
1 119 73
1 811 28
1 3317 33
1 8321 46
1 582 19
2 7 66
2 25 41
2 54 69
2 849 72
2 7513 14
2 6471 58
2 5682 9
3 10 94
3 21 89
3 23 14
3 290 88
3 1542 39
3 2065 64
3 2853 32
3 3730 9
3 9761 55
4 5 83
4 9 38
4 12 61
4 17 43
4 19 61
4 112 8
4 231 84
4 320 63
4 493 41
4 2445 5
4 6916 50
4 3953 77
4 4199 84
5 46 57
5 55 38
5 84 60
5 180 47
5 342 29
5 482 1
5 7682 78
5 6072 49
5 7587 63
5 4116 20
5 9206 65
6 49 36
6 89 20
6 542 9
6 3455 42
6 1872 73
7 69 88
7 79 2
7 1202 29
7 4982 87
7 5853 1
7 8011 78
7 7894 99
8 13 38
8 16 36
8 22 77
8 30 53
8 42 32
8 208 53
8 423 81
8 470 51
8 551 84
8 1720 93
8 2261 6
9 37 11
9 58 74
9 422 5
9 490 25
9 960 74
9 1333 38
9 1898 20
9 2206 5
9 3969 12
9 5241 55
10 14 48
10 20 66
10 153 58
10 222 96
10 339 78
10 719 63
10 1345 24
10 2030 22
10 2340 39
10 4550 51
10 8700 46
10 9548 92
11 51 94
11 57 7
11 70 51
11 86 100
11 93 98
11 182 69
11 1158 50
11 4754 72
11 6636 7
11 7413 44
11 6514 23
12 118 32
12 181 76
12 895 57
12 1952 87
12 4054 75
13 34 71
13 48 27
13 134 70
13 176 75
13 250 7
13 917 18
13 6226 57
13 1857 10
14 169 35
14 197 37
14 739 42
14 1665 95
14 1713 30
14 1852 6
14 6392 5
14 9200 94
15 24 96
15 32 55
15 39 62
15 408 19
15 2745 79
15 2938 31
15 2975 49
15 4103 54
16 18 35
16 28 67
16 29 51
16 83 66
16 580 99
16 4502 63
16 5628 53
16 8345 53
16 7418 51
16 8035 82
17 152 55
17 185 26
17 204 46
17 287 93
17 2161 96
17 2530 74
17 5826 15
17 122 98
18 26 81
18 27 30
18 47 45
18 85 62
18 126 37
18 485 22
18 869 46
18 1835 61
18 7156 39
18 4027 39
18 9675 15
19 36 6
19 61 23
19 319 32
19 1450 59
19 2793 82
19 6020 96
19 899 17
20 531 56
20 862 24
20 1816 78
20 4800 79
20 6876 77
20 5064 49
21 41 2
21 77 26
21 127 35
21 132 14
21 255 34
21 413 91
21 792 40
21 6438 63
21 4460 1
22 35 31
22 50 32
22 53 69
22 74 51
22 328 64
22 441 27
22 7834 73
23 148 32
23 430 57
23 1275 61
23 3970 67
24 33 23
24 59 79
24 276 78
24 355 92
24 591 43
24 1686 75
25 116 47
25 200 13
25 313 23
25 3413 19
25 3614 45
25 7432 93
26 62 3
26 954 38
26 3172 31
26 4728 96
26 6704 56
26 5220 4
26 7514 93
27 31 51
27 40 28
27 484 96
27 8047 13
28 43 10
28 160 93
28 1294 7
28 3638 18
28 3722 66
28 9070 93
29 66 26
29 135 81
29 146 82
29 167 87
29 552 52
29 2282 70
29 3260 40
29 3552 21
30 60 65
30 73 74
30 165 7
30 264 24
30 516 17
30 881 62
30 1232 23
30 1462 22
30 9085 9
30 5577 63
30 1625 91
31 44 81
31 72 53
31 82 10
31 88 46
31 184 59
31 383 21
31 1630 40
31 8532 38
32 95 40
32 1742 18
32 9468 28
33 1002 37
33 1434 62
33 1599 83
33 4124 58
33 859 33
34 56 27
34 150 46
34 1131 97
34 1583 74
34 2600 81
34 5531 48
34 5650 5
35 38 63
35 45 22
35 447 19
35 654 100
35 658 32
35 1574 50
35 7312 61
35 4738 50
36 71 74
36 94 91
36 164 1
36 168 9
36 195 42
36 257 83
36 768 62
36 2320 77
36 387 4
36 6140 53
37 125 20
37 1023 84
37 2177 21
37 2527 76
37 3628 33
37 993 74
38 63 5
38 78 32
38 2597 87
38 3400 32
38 4244 8
38 9811 86
38 2343 78
38 9205 93
39 311 16
39 2286 70
39 2426 66
39 4815 33
40 304 44
40 834 17
40 1913 7
40 6535 10
40 851 7
40 5110 14
41 97 84
41 144 12
41 2035 45
41 7735 61
41 5446 92
41 3587 54
42 76 85
42 145 79
42 1522 21
42 1678 71
42 1986 5
43 509 51
43 630 48
43 1675 44
43 3286 12
43 7081 50
44 206 33
44 519 68
44 1616 6
44 1668 90
44 1853 44
44 6502 79
45 67 57
45 128 45
45 140 34
45 9085 3
46 99 3
46 103 88
46 1567 89
46 7964 20
47 7244 17
48 111 59
48 139 25
48 1277 5
48 9320 81
48 3664 98
49 117 7
49 228 55
49 530 42
49 2813 22
49 2905 89
50 52 12
50 64 21
50 198 81
50 275 34
50 561 19
50 1125 15
50 2878 43
50 3123 81
50 7483 67
50 482 93
50 8986 12
51 101 16
51 108 65
51 122 58
51 3782 90
51 4094 84
51 5018 13
51 6613 66
52 192 10
52 281 73
52 6690 12
52 2612 95
52 3193 11
53 106 33
53 115 89
53 426 88
53 717 22
53 1482 49
53 584 47
54 92 64
54 251 36
54 2109 68
54 5072 10
54 1910 53
54 7116 18
55 87 70
55 121 39
55 143 90
55 393 14
55 512 59
55 1251 48
55 3180 9
55 4348 32
55 4054 83
56 129 33
56 207 38
56 7367 25
57 68 42
57 431 91
57 883 61
57 2238 19
57 237 32
58 81 98
58 4379 34
58 6522 73
58 9304 51
58 9748 94
58 4006 95
59 91 9
59 177 30
59 1288 70
59 6544 92
59 9020 56
59 7275 16
59 9752 3
60 102 2
60 157 17
60 237 90
60 248 24
60 478 34
60 1740 92
60 1842 59
60 2454 65
60 3095 69
60 5029 40
60 1139 51
60 3035 89
61 358 3
61 2737 11
61 5643 81
61 8311 19
61 8916 14
61 9231 91
61 727 15
61 8562 50
63 158 51
63 202 65
63 444 28
63 734 84
63 1171 1
63 2090 70
63 4643 29
63 5903 73
64 110 91
64 191 85
64 224 12
64 332 52
64 345 6
64 486 48
64 4604 57
64 8130 44
64 8442 1
64 7912 76
65 124 61
65 238 3
65 2026 28
65 2436 49
65 9135 48
65 1056 53
65 9268 43
66 196 95
66 438 11
66 855 11
66 1280 83
66 1819 31
66 2484 65
66 8785 52
67 214 32
67 718 85
67 1157 6
67 1201 49
67 2211 2
67 2284 74
68 643 25
68 1297 13
68 3746 29
68 4563 25
68 7536 73
69 75 99
69 80 100
69 170 64
69 455 53
69 652 59
69 949 29
69 4706 2
70 166 80
70 351 58
70 497 80
70 831 50
71 123 87
71 303 86
71 1451 75
71 5519 58
71 7461 48
71 9495 96
72 1315 47
72 2417 99
72 8767 62
73 647 14
74 270 92
74 5832 22
74 6601 53
75 190 21
75 232 58
75 491 71
75 1330 61
75 8308 9
75 4462 78
76 289 41
76 1161 42
76 9586 24
76 8913 36
77 178 18
77 353 21
78 958 89
78 1361 20
78 2601 27
78 8514 80
78 8853 67
78 5927 43
79 90 75
79 381 98
79 738 94
79 945 81
79 1031 52
79 1810 37
79 5282 55
79 5460 15
80 236 70
80 835 22
80 876 15
80 1130 96
80 2404 5
80 8379 18
80 9834 56
81 3543 92
81 3060 69
82 415 9
82 435 76
82 3143 50
82 7465 93
82 8921 63
82 521 42
83 96 81
83 109 22
83 141 28
83 142 26
83 175 74
83 259 80
83 735 52
83 1021 51
83 1543 28
83 5068 100
83 9894 74
84 671 48
84 4404 28
84 4830 35
84 5014 73
84 2713 37
85 161 11
85 256 75
85 9131 69
85 4019 82
85 8203 90
85 4930 62
86 105 94
86 928 45
86 371 24
86 3194 77
86 5800 12
86 3355 22
86 9595 11
87 100 48
87 568 69
87 1210 65
87 1489 83
87 3726 83
87 4687 94
87 934 100
87 6171 79
88 282 30
88 316 10
88 323 72
88 2545 70
88 6371 41
88 7422 19
88 9032 37
88 7384 23
88 4612 46
89 98 94
89 4902 64
89 5156 37
90 138 13
90 4143 7
90 5717 31
90 1054 37
91 1062 35
91 1596 38
91 4793 6
91 5363 74
91 5602 56
91 9960 41
91 7020 29
92 120 91
92 592 83
92 605 9
92 1811 40
92 9881 95
92 2096 94
93 8528 89
94 151 10
94 992 61
94 5410 33
95 227 17
95 301 83
95 3557 67
95 3599 45
95 186 90
95 8081 80
96 230 31
96 330 67
96 860 88
96 1342 63
96 2202 78
96 3150 88
96 4197 30
96 4343 4
96 8712 88
97 171 89
97 240 97
97 315 76
97 722 38
97 1322 35
97 4032 83
97 9069 100
98 199 48
98 347 56
98 515 32
98 571 76
98 4129 25
99 241 15
99 266 26
99 418 14
99 4734 8
99 5214 61
99 6004 18
100 130 55
100 233 29
100 1165 61
100 2213 9
100 3017 87
100 72 6
100 9006 83
101 469 64
101 5580 38
101 1356 25
102 136 61
102 314 94
102 996 92
102 1437 72
102 2575 69
102 8776 57
103 104 81
103 194 32
103 456 62
103 464 64
103 780 64
103 4781 68
103 5756 80
104 404 16
104 939 17
104 4602 55
104 7995 14
104 595 54
105 154 33
105 162 38
105 187 91
105 299 69
105 761 5
105 781 38
105 1705 88
105 3709 30
106 113 49
106 333 24
106 814 6
106 1510 49
106 1727 9
106 6523 85
107 373 59
107 398 6
107 676 79
107 711 49
107 766 35
107 984 64
107 1039 38
107 4904 20
107 7296 70
107 5709 58
108 1896 100
108 4743 21
109 1229 16
109 9603 80
109 7654 80
110 318 61
110 379 75
110 1087 10
110 1237 63
110 6877 24
111 382 76
111 452 91
111 582 48
111 1122 56
111 2139 72
111 7033 65
111 8543 76
111 3719 23
111 7928 69
112 114 19
112 458 36
112 971 98
112 1166 52
112 1722 42
112 2719 41
113 352 22
113 6470 90
114 131 71
114 156 25
114 291 62
114 704 22
114 1685 32
115 209 58
115 307 7
115 759 72
115 4278 85
115 6511 58
116 296 32
116 680 48
116 1584 14
116 2363 44
116 2391 20
116 8843 86
116 2450 60
116 5286 63
117 137 77
117 203 5
117 583 59
117 626 21
117 3147 38
117 6620 89
117 6983 7
118 533 52
118 791 19
118 805 82
118 1077 1
118 1792 29
118 4524 13
118 5271 85
118 2399 78
118 3048 8
119 331 79
119 1941 39
119 6726 71
119 1830 32
120 239 43
120 246 67
120 559 24
120 675 4
120 3801 41
120 9845 68
121 220 38
121 1454 9
121 3770 48
121 6755 72
121 9549 78
122 155 11
122 179 10
122 459 6
123 133 46
123 279 49
123 286 87
123 758 42
123 5197 97
124 274 26
124 340 98
124 370 93
124 878 20
124 2049 94
124 5147 55
124 6590 24
124 4130 15
125 189 43
125 454 84
125 2603 82
125 5748 4
125 6075 93
126 335 71
126 725 90
126 1008 93
126 1359 1
126 2164 10
126 3020 33
127 975 55
127 1295 96
127 1638 69
127 4836 70
127 3071 13
128 159 47
128 386 67
128 399 1
128 1190 86
128 1287 59
128 9186 77
128 9219 13
128 2341 74
129 755 42
129 1631 1
129 5474 5
130 893 20
130 1037 85
130 2082 4
130 2362 59
131 2578 70
131 5969 49
131 3581 76
132 354 30
132 579 26
132 621 97
132 674 81
132 1533 39
132 1545 3
132 1753 99
132 2805 88
132 4478 14
132 1760 72
132 8437 84
133 929 31
133 1197 87
133 3538 37
133 2277 77
134 173 44
134 378 79
134 391 14
134 392 79
134 400 82
134 2178 99
134 2427 96
134 4164 19
134 5785 51
134 9499 72
135 2278 64
135 3083 47
136 489 53
136 2786 72
137 436 17
137 989 1
137 2182 46
137 2543 42
137 2711 55
137 2776 49
137 2903 69
137 3731 35
137 7670 23
137 8899 63
137 9781 83
138 147 81
138 149 44
138 254 51
138 277 81
138 348 62
138 3337 32
138 7240 52
138 244 12
139 172 26
139 215 88
139 544 89
139 586 84
139 4764 58
139 7973 32
139 8377 20
140 174 7
140 300 36
140 581 19
140 801 31
140 919 56
140 927 57
140 1724 86
141 305 32
141 1611 21
141 1945 99
141 4900 96
141 4097 15
141 1110 37
142 213 41
142 518 52
142 1338 37
142 4510 37
142 9136 66
142 4084 17
142 7323 21
143 567 58
143 809 77
143 821 84
143 1059 9
143 1444 98
143 5920 53
143 9802 28
144 272 55
144 468 86
144 3360 81
144 6405 43
145 253 24
145 4013 67
145 5473 39
145 1404 3
146 278 5
146 343 75
146 684 42
146 807 84
146 1385 95
146 2774 21
146 4202 99
146 6310 27
146 7863 67
146 2007 19
147 502 80
147 1072 17
147 1982 79
147 2375 95
147 5249 18
147 9537 99
147 9980 79
148 1230 44
148 4192 9
148 4308 52
148 6607 10
149 226 54
149 462 36
149 1830 58
149 2462 84
150 223 10
150 902 53
150 1073 85
150 1690 86
150 2027 59
150 3323 12
150 3749 12
150 7807 38
150 8441 82
150 8738 15
151 283 26
151 507 69
151 1481 30
151 3239 80
151 3861 31
151 6908 75
151 4255 60
151 6539 65
152 163 86
152 321 21
152 692 22
152 3776 41
152 7705 93
152 7913 88
153 867 98
153 3761 16
153 7037 100
154 566 98
154 589 8
154 956 17
155 183 57
155 546 76
155 690 45
155 2441 48
155 4893 21
156 368 96
156 757 81
156 763 31
156 4586 14
156 2283 100
157 308 16
157 532 51
157 742 71
157 1065 39
157 1270 18
157 9726 29
157 9270 35
158 211 100
158 843 15
158 1176 48
158 9685 44
159 235 69
159 1910 1
159 2396 28
159 3779 67
159 5067 35
159 6243 35
159 5238 43
160 510 17
160 3841 36
160 7463 49
160 2910 68
160 8477 89
161 217 10
161 234 32
161 440 77
161 1006 82
161 4041 56
162 1050 53
162 1327 64
162 2364 9
163 451 95
163 1279 77
163 1429 56
163 4148 88
164 201 22
164 863 2
164 1302 92
164 2672 36
164 6301 46
165 1634 29
165 9371 11
165 4449 9
166 295 1
166 1746 4
166 3910 85
166 6072 11
166 6022 92
167 1029 81
167 1863 12
167 895 43
167 887 95
168 186 43
168 2173 9
168 3670 49
169 218 45
169 1372 25
169 5065 14
169 5134 51
169 7030 71
169 8383 30
169 9752 27
169 4887 10
170 188 20
170 294 70
170 334 2
170 4060 99
170 9066 56
170 2481 12
170 9837 69
171 774 9
171 874 20
171 1963 64
172 362 31
172 1953 54
172 7014 59
173 2614 92
173 2702 62
173 2940 53
173 9644 47
174 244 13
174 1733 99
174 4392 14
175 212 9
175 410 64
175 624 19
175 824 46
175 4700 12
176 403 71
176 947 61
176 5145 15
176 9779 9
177 7337 46
177 9919 7
177 6503 52
178 417 74
178 838 91
178 2081 91
178 4499 56
178 5526 55
178 9808 47
179 474 76
179 1191 2
179 1405 23
179 3655 86
179 5895 80
180 216 12
180 350 4
180 1348 40
180 8718 70
180 9744 54
181 271 78
181 329 74
181 8910 37
181 7715 48
181 1276 24
182 229 78
182 357 72
182 737 49
182 756 66
182 4097 29
182 3654 46
182 2294 85
183 205 4
183 390 94
183 2439 47
183 8788 81
183 5981 23
183 6983 51
184 619 53
184 1162 24
184 1261 54
184 2749 47
184 6244 20
184 9030 71
184 627 98
185 472 82
185 1749 65
185 4108 94
185 6833 72
186 419 81
186 1527 30
186 1532 36
186 3213 85
187 263 91
187 1309 28
187 1340 80
187 6658 64
188 536 64
188 990 75
188 2968 47
189 225 72
189 4400 61
190 221 24
190 4151 43
190 5193 97
190 6396 47
191 346 60
191 388 39
191 5015 64
191 3796 81
191 5329 37
191 1353 67
192 193 99
192 297 55
192 529 8
192 2728 8
192 2593 83
192 43 24
192 1174 17
193 219 4
193 9684 40
193 8294 45
193 8578 3
193 1686 60
193 9350 46
194 371 72
194 644 79
194 760 90
194 5101 11
195 1441 89
195 1479 47
195 2028 29
195 5013 56
195 6274 66
195 3156 86
196 488 55
196 4250 42
196 4683 52
197 429 45
197 782 69
197 940 36
197 1897 6
198 210 98
198 859 67
198 931 54
198 6712 25
198 8779 55
198 8701 17
198 586 82
199 669 3
199 923 83
199 9430 74
200 1667 7
200 1798 55
200 3885 34
200 5737 75
201 483 1
201 710 23
201 995 60
201 2815 100
201 5032 96
201 7919 71
201 9171 65
201 4748 98
201 1593 44
202 336 69
202 709 20
202 1020 92
203 261 11
203 693 65
203 1488 100
203 142 7
204 298 41
204 3105 68
204 4009 36
204 7295 83
205 394 65
205 2032 23
205 3811 12
205 3997 95
205 3927 5
205 2912 58
205 8615 32
206 771 96
206 1098 55
206 2125 37
206 9323 48
206 9418 11
206 6686 7
207 326 81
