100 2475
0 19 54
0 56 79
0 87 14
0 68 56
0 3 38
0 29 73
0 13 70
0 70 66
0 90 3
0 89 14
0 2 39
0 1 42
0 8 68
0 22 64
0 78 53
0 71 13
0 7 41
0 60 69
0 80 96
0 53 17
0 95 74
0 94 69
0 28 4
0 39 61
1 56 80
1 21 73
1 10 63
1 54 48
1 47 10
1 6 98
1 8 29
1 74 90
1 59 40
1 0 68
1 16 75
1 36 72
1 57 1
1 29 80
1 95 46
1 72 100
1 60 14
1 79 72
1 63 23
1 35 41
1 93 62
1 34 43
1 7 19
1 65 37
1 45 37
1 91 12
1 40 36
1 85 9
1 46 47
2 96 89
2 72 8
2 44 69
2 25 90
2 19 92
2 50 70
2 26 47
2 3 32
2 74 94
2 5 99
2 66 73
2 21 83
2 7 11
2 12 87
2 79 1
2 45 16
2 69 48
2 14 37
2 17 60
2 47 47
2 71 93
2 93 94
2 57 78
2 33 72
2 78 16
2 22 43
3 67 33
3 18 43
3 27 62
3 66 83
3 21 32
3 44 44
3 1 84
3 48 56
3 68 47
3 34 10
3 71 73
3 56 62
3 77 57
3 94 65
3 51 87
3 89 43
3 64 45
3 41 3
3 91 72
3 49 49
3 13 98
3 58 29
3 50 84
3 69 36
4 38 99
4 67 11
4 89 38
4 72 63
4 88 61
4 77 39
4 90 80
4 23 37
4 52 66
4 30 62
4 16 9
4 17 17
4 13 46
4 2 64
4 63 74
4 56 81
4 57 92
4 43 86
4 81 100
4 37 97
4 14 12
4 86 63
4 35 82
4 34 84
5 41 16
5 39 36
5 77 16
5 26 81
5 15 53
5 54 76
5 80 62
5 16 54
5 24 37
5 27 47
5 9 89
5 7 94
5 58 96
5 57 5
5 83 31
5 0 82
5 11 30
5 18 42
5 64 78
5 31 14
5 65 42
5 40 76
6 18 12
6 22 95
6 48 51
6 46 38
6 27 80
6 21 92
6 25 98
6 42 76
6 57 44
6 4 10
6 14 39
6 52 59
6 58 59
6 61 6
6 77 95
6 20 77
6 40 1
6 44 20
6 59 19
6 92 27
6 89 44
6 33 90
6 93 8
7 81 76
7 32 82
7 96 85
7 16 72
7 13 45
7 62 11
7 49 22
7 61 94
7 74 94
7 39 9
7 95 17
7 79 90
7 88 66
7 11 2
7 23 13
7 99 60
7 30 99
7 60 61
7 90 41
7 63 56
7 85 35
8 40 28
8 58 76
8 65 3
8 5 91
8 74 30
8 37 45
8 64 25
8 48 29
8 93 62
8 9 30
8 54 6
8 69 76
8 62 53
8 33 12
8 83 67
8 91 31
8 38 24
8 53 91
8 76 69
8 95 98
8 72 66
8 52 77
8 56 11
8 97 38
8 66 94
8 67 53
8 18 69
8 70 85
8 16 61
9 72 98
9 18 99
9 23 25
9 69 47
9 45 68
9 7 11
9 96 78
9 76 90
9 98 39
9 82 91
9 74 56
9 31 47
9 44 28
9 30 44
9 99 42
9 32 43
9 79 78
9 29 85
9 52 9
9 68 88
9 93 92
9 3 41
9 26 35
10 53 84
10 25 32
10 45 47
10 97 67
10 27 30
10 73 27
10 4 77
10 85 57
10 34 6
10 84 1
10 46 67
10 24 1
10 72 61
10 13 73
10 80 28
10 52 9
10 38 88
10 22 67
10 28 38
10 2 57
10 93 53
10 98 49
10 81 8
10 82 39
10 15 76
10 66 45
11 44 14
11 51 83
11 31 35
11 63 95
11 85 4
11 45 95
11 5 39
11 73 32
11 81 89
11 34 19
11 35 19
11 2 32
11 56 29
11 8 20
11 40 27
11 0 1
11 97 34
11 61 95
11 96 86
11 7 73
11 79 73
11 30 4
11 80 46
11 58 64
11 68 81
12 19 100
12 67 62
12 97 91
12 27 19
12 86 85
12 81 22
12 6 90
12 73 20
12 80 58
12 51 89
12 68 94
12 25 71
12 77 20
12 1 91
12 58 64
12 92 38
12 49 68
12 33 39
12 2 17
12 4 77
12 54 81
12 65 44
12 52 51
12 21 38
13 27 43
13 95 43
13 7 2
13 76 28
13 82 2
13 44 17
13 33 38
13 69 75
13 83 45
13 97 52
13 70 2
13 14 56
13 72 75
13 29 50
13 71 39
13 38 74
13 52 9
13 78 50
14 33 37
14 4 84
14 96 69
14 34 35
14 75 83
14 84 72
14 18 30
14 30 26
14 44 33
14 37 29
14 77 35
14 54 48
14 66 7
14 13 43
14 1 4
14 74 12
14 21 44
14 71 83
14 39 29
14 0 18
14 31 42
14 60 20
14 93 60
14 3 93
14 61 6
14 55 48
14 92 28
14 86 25
14 65 87
14 45 55
14 41 63
15 5 65
15 84 41
15 21 44
15 4 62
15 99 26
15 24 56
15 6 66
15 97 17
15 44 92
15 65 81
15 46 56
15 59 78
15 47 76
15 71 99
15 38 8
15 39 67
15 63 26
15 92 18
15 64 6
15 51 35
15 20 90
15 55 96
15 82 18
15 78 11
15 45 70
16 22 52
16 44 3
16 78 44
16 34 69
16 46 27
16 57 80
16 20 16
16 27 26
16 33 85
16 14 28
16 24 89
16 8 44
16 60 59
16 92 6
16 3 95
16 87 58
16 52 38
16 84 5
16 4 92
16 71 1
16 13 94
17 29 1
17 49 59
17 87 50
17 59 87
17 53 22
17 78 80
17 92 84
17 52 41
17 47 99
17 66 9
17 93 96
17 38 26
17 72 52
17 30 62
17 43 100
17 27 58
17 18 95
17 50 92
17 12 73
17 64 82
17 42 44
17 58 97
17 99 14
17 76 48
17 94 100
17 88 4
18 7 39
18 75 72
18 96 38
18 38 3
18 60 10
18 23 76
18 87 38
18 90 95
18 76 28
18 26 5
18 86 16
18 21 83
18 67 87
18 72 61
18 80 72
18 93 64
18 58 19
18 79 76
18 35 79
18 5 100
18 52 79
18 50 16
18 48 95
18 11 33
18 8 4
18 82 92
19 25 26
19 64 66
19 85 17
19 15 88
19 13 96
19 73 24
19 1 85
19 37 97
19 9 76
19 58 97
19 3 72
19 38 39
19 83 67
19 45 15
19 30 45
19 24 46
19 42 98
19 29 87
19 84 80
19 66 83
19 14 80
19 40 30
19 70 46
20 99 68
20 96 100
20 85 9
20 97 47
20 93 93
20 7 29
20 72 53
20 78 91
20 15 37
20 42 39
20 18 43
20 32 27
20 51 53
20 40 82
20 36 36
20 67 26
20 39 18
20 0 11
20 12 34
20 43 75
21 73 87
21 86 84
21 71 18
21 19 98
21 90 14
21 27 13
21 58 69
21 67 13
21 84 30
21 91 69
21 3 12
21 1 30
21 72 42
21 10 25
21 0 58
21 77 52
21 37 30
21 94 100
21 88 22
21 51 99
21 7 48
21 12 26
21 59 46
21 20 32
21 39 28
21 69 38
22 11 23
22 66 64
22 61 83
22 2 52
22 45 54
22 97 66
22 65 83
22 24 66
22 59 7
22 77 64
22 72 89
22 68 15
22 82 16
22 74 31
22 67 38
22 70 25
22 58 9
22 75 93
22 94 29
22 80 36
22 44 15
22 1 91
22 73 16
22 56 49
23 26 62
23 77 70
23 95 95
23 29 40
23 55 95
23 47 28
23 65 93
23 32 7
23 5 50
23 40 32
23 35 58
23 56 31
23 39 61
23 6 84
23 72 54
23 62 62
23 36 66
23 88 36
23 18 60
23 85 68
23 71 17
23 0 9
23 9 35
24 11 73
24 98 84
24 53 18
24 78 22
24 39 5
24 15 88
24 36 97
24 49 28
24 90 41
24 22 100
24 13 43
24 33 4
24 38 72
24 16 5
24 3 74
24 75 12
24 72 47
24 37 82
24 0 88
24 84 54
24 67 85
25 88 40
25 41 60
25 9 17
25 45 52
25 23 47
25 27 62
25 10 37
25 58 26
25 22 38
25 50 64
25 95 87
25 59 98
25 84 59
25 67 13
25 11 28
25 57 7
25 89 15
25 80 77
25 78 13
25 56 76
25 75 84
26 49 6
26 72 98
26 89 45
26 1 8
26 92 77
26 46 84
26 84 21
26 13 89
26 52 22
26 9 85
26 83 59
26 33 47
26 94 46
26 34 64
26 68 5
26 21 100
26 16 42
26 82 62
26 54 32
26 81 41
26 76 40
26 70 74
26 73 61
26 32 46
26 65 49
26 99 51
26 74 75
26 79 38
27 10 3
27 21 47
27 96 25
27 90 1
27 32 9
27 25 46
27 15 74
27 75 82
27 85 4
27 1 85
27 84 18
27 14 17
27 7 41
27 64 76
27 55 55
27 80 96
27 6 90
27 62 87
27 35 54
27 98 72
27 69 21
27 89 33
27 61 33
27 71 59
27 95 52
27 87 68
27 43 59
28 85 74
28 24 48
28 86 93
28 88 97
28 38 45
28 4 68
28 81 38
28 56 89
28 54 22
28 63 77
28 40 50
28 70 96
28 87 31
28 29 98
28 13 11
28 9 39
28 47 60
28 84 70
28 73 51
28 72 32
28 8 68
28 35 3
28 96 59
28 79 82
