500 2000
0 1 100
0 2 36
0 3 49
0 5 34
0 22 5
0 27 66
0 105 1
0 124 72
0 216 81
0 30 62
0 49 9
0 127 39
1 14 57
1 205 26
1 480 55
1 233 90
1 377 81
2 6 23
2 11 70
2 17 10
2 73 61
2 311 95
2 129 65
2 202 15
3 4 43
3 7 9
3 16 5
3 39 81
3 182 94
3 199 89
3 360 53
3 100 82
3 365 55
3 79 99
4 32 70
4 64 44
4 71 95
4 118 77
4 465 51
4 113 96
4 255 85
4 185 93
4 51 56
4 222 62
5 40 47
5 42 59
5 66 52
5 74 32
5 91 76
5 463 97
5 232 50
5 37 46
5 61 15
6 9 23
6 12 28
6 49 81
6 77 40
6 343 37
6 418 18
6 87 84
6 119 3
6 392 88
6 349 71
7 8 26
7 10 14
7 65 44
7 143 63
7 97 15
7 205 84
8 18 100
8 24 20
8 54 5
8 84 26
8 93 16
8 393 34
8 435 62
8 467 89
8 324 47
9 13 83
9 315 26
10 190 61
10 274 38
10 275 42
10 330 78
10 436 27
10 440 58
10 82 37
10 388 36
10 390 49
10 201 72
11 15 34
11 121 81
11 135 7
11 269 38
11 276 30
11 332 11
11 280 51
12 26 74
12 44 23
12 47 39
12 55 4
12 78 59
12 307 52
12 91 57
13 30 52
13 81 15
13 131 25
13 141 69
13 157 56
13 251 9
13 373 1
13 145 88
13 308 16
13 493 78
14 19 3
14 33 1
14 382 16
14 302 6
14 132 36
14 41 59
14 405 19
14 357 86
15 20 20
15 29 62
15 57 63
15 67 28
15 87 88
15 126 68
15 456 86
15 284 15
15 191 18
15 299 31
16 75 2
16 112 27
16 220 16
16 413 9
16 423 89
17 89 42
17 100 13
17 237 72
17 301 86
17 430 95
17 306 41
17 60 31
17 43 16
18 43 83
18 72 63
18 113 82
18 145 31
18 155 61
18 217 50
18 240 34
18 249 52
18 338 83
18 275 43
18 96 19
19 38 52
19 235 85
19 279 26
19 5 33
19 121 93
19 140 25
20 21 82
20 103 3
20 226 80
20 42 42
20 262 44
20 266 54
20 0 7
21 23 50
21 37 88
21 296 41
21 455 26
21 297 23
21 238 66
22 25 43
22 28 99
22 76 81
22 92 43
22 106 12
22 461 9
22 65 64
22 452 93
22 499 4
22 212 66
22 34 28
23 119 92
23 204 3
23 484 67
24 34 89
24 46 85
24 58 9
24 288 19
24 402 38
24 152 74
24 282 10
24 428 82
24 395 49
25 474 57
26 140 95
26 328 83
26 170 2
26 103 31
26 437 42
26 306 1
26 324 19
26 155 15
27 31 94
27 90 98
27 399 35
27 96 20
27 117 24
28 132 20
28 150 42
28 169 60
28 231 50
28 154 79
29 70 10
29 395 19
29 323 92
29 152 50
29 499 46
30 35 16
30 116 23
30 125 25
30 459 61
30 26 43
30 414 43
31 51 11
31 61 69
31 201 98
31 162 60
31 470 57
31 136 97
31 302 69
32 166 5
32 137 83
32 273 50
33 259 25
33 186 26
33 444 40
33 65 34
33 400 17
33 85 66
33 336 36
33 445 63
33 329 44
33 168 82
34 36 46
34 41 44
34 114 67
34 384 77
34 477 13
34 42 71
34 171 3
35 45 6
35 94 19
35 153 12
35 232 8
35 488 25
36 209 5
36 322 94
37 158 28
37 48 72
38 183 11
38 281 33
39 263 14
39 433 15
39 452 3
40 52 57
40 174 82
40 402 36
40 486 47
41 60 40
41 261 51
41 450 74
42 213 91
42 433 82
42 62 63
42 389 55
43 171 98
43 466 89
43 212 48
43 498 8
43 193 16
43 380 37
44 48 50
44 50 46
44 123 54
44 235 83
44 334 66
44 354 19
44 64 18
44 57 12
45 134 21
45 142 21
45 160 50
45 490 48
45 162 91
45 443 22
45 185 43
46 56 76
46 469 19
46 58 13
46 88 76
46 442 7
47 53 25
47 213 48
47 204 33
47 31 55
47 87 14
48 102 100
48 408 77
48 303 44
48 406 76
48 270 45
49 163 81
49 464 16
49 426 48
49 316 97
49 108 67
50 59 70
50 148 96
50 377 7
50 413 63
50 163 19
50 166 9
50 459 7
51 86 42
51 165 43
51 353 87
51 173 84
51 90 38
51 220 24
52 239 18
52 423 28
52 379 22
52 322 92
52 346 8
52 6 77
53 95 22
53 109 89
53 130 36
53 137 56
53 245 97
53 258 99
54 85 44
55 201 17
55 456 5
55 261 55
55 417 42
55 444 82
56 98 32
56 129 60
56 499 14
56 374 8
56 61 48
57 115 53
57 247 42
57 265 90
57 319 94
57 497 98
57 292 95
57 49 86
58 151 13
58 177 12
58 172 22
58 379 85
58 363 18
58 442 34
59 85 20
59 253 80
59 394 12
60 111 89
60 152 95
60 460 33
60 7 92
60 114 92
60 73 17
60 36 47
60 263 84
61 62 58
61 63 3
61 197 11
61 203 83
61 73 51
61 337 69
61 67 52
62 104 11
62 128 63
62 273 31
62 434 26
62 20 17
63 82 77
63 120 79
63 184 32
63 377 84
63 178 12
63 24 97
63 236 48
63 273 95
63 340 18
63 140 91
63 385 97
63 272 15
63 207 2
64 138 43
64 448 27
65 428 47
65 159 75
65 166 97
66 68 59
66 449 11
66 433 77
66 108 7
66 274 54
66 445 27
67 271 61
67 284 40
67 495 72
67 183 86
67 390 18
67 56 14
68 69 20
68 133 23
68 330 1
68 384 11
68 142 41
69 366 61
69 245 64
70 97 22
70 365 26
70 410 55
70 437 97
70 191 64
71 168 18
