100 400
0 1 6
0 17 60
0 33 73
0 63 96
0 10 3
1 2 8
1 3 46
1 5 32
1 45 31
2 4 56
2 8 22
2 9 11
2 20 57
2 44 75
2 41 22
2 46 40
3 12 64
3 14 60
3 27 31
3 34 78
3 72 80
3 23 35
3 11 96
3 40 13
3 94 24
3 46 71
4 6 53
4 7 88
4 80 39
4 92 89
4 16 9
5 93 85
5 31 91
5 40 40
6 41 81
6 19 21
6 80 83
6 82 62
6 50 65
6 83 43
7 99 51
7 75 72
7 0 27
7 47 37
7 57 14
7 9 86
8 24 59
8 40 81
8 46 12
8 50 70
8 75 82
8 60 58
8 44 31
8 91 100
9 10 49
9 11 88
9 13 19
9 18 87
9 22 82
9 25 26
9 30 90
9 31 3
9 59 97
9 40 74
9 65 82
9 82 12
9 37 13
9 57 23
9 16 41
10 15 33
10 53 33
10 41 78
10 11 56
10 50 40
10 39 72
10 47 29
10 32 26
11 21 76
11 29 74
11 49 26
11 82 86
11 28 58
11 8 40
12 26 62
12 28 74
12 38 80
12 82 31
12 96 88
12 89 15
12 40 55
12 95 95
12 71 87
13 23 89
13 73 65
13 31 56
13 98 75
14 16 33
14 36 78
14 60 87
14 97 36
14 67 66
14 63 77
15 66 59
15 52 46
16 39 87
16 94 54
16 76 91
16 85 90
16 80 39
17 19 21
17 79 6
17 97 33
17 5 46
17 67 47
17 30 64
18 47 42
18 16 70
18 8 17
18 94 82
18 30 14
18 32 26
18 17 5
19 43 57
19 88 54
19 42 11
19 86 58
20 47 40
20 34 58
20 3 19
21 88 57
21 84 80
22 37 29
22 33 7
22 77 20
22 99 88
22 46 66
23 45 94
23 51 68
23 63 12
23 18 73
23 27 44
23 88 99
23 98 17
24 99 45
24 41 78
24 47 87
25 32 36
25 62 72
25 5 26
25 15 18
27 82 82
27 19 85
28 74 83
28 50 77
28 17 20
28 15 26
29 58 10
29 71 61
29 64 72
30 95 47
30 56 79
30 39 61
30 53 82
30 99 83
31 35 37
32 52 35
32 22 15
32 27 20
33 65 69
33 68 75
34 15 48
34 10 94
35 24 16
35 79 82
35 31 15
36 86 87
36 96 96
36 10 98
36 60 90
36 45 100
36 88 63
37 41 16
37 14 52
37 39 58
38 77 84
38 27 99
38 15 7
38 20 92
38 21 21
40 85 33
40 19 57
41 42 6
41 48 77
41 90 29
42 31 17
42 99 19
42 8 43
43 44 1
43 91 11
43 86 77
44 71 48
44 55 15
44 93 83
44 39 84
44 3 54
44 57 6
44 90 9
44 16 100
44 66 37
45 30 74
46 61 87
46 11 56
46 47 37
46 86 93
46 8 68
47 48 54
47 56 44
47 67 87
47 70 14
47 85 86
47 93 28
47 97 70
47 19 88
47 16 72
47 30 50
48 69 82
48 68 91
48 82 43
48 19 21
48 64 68
49 84 59
49 59 75
49 52 100
49 36 33
49 47 33
50 64 2
50 94 6
50 40 84
50 91 93
51 55 38
51 57 15
51 53 94
52 54 62
52 78 15
52 91 36
52 43 59
53 58 44
53 34 28
53 20 26
53 23 86
54 73 52
54 65 47
54 0 79
54 10 56
55 57 30
55 22 17
55 2 59
55 51 96
55 35 82
55 64 8
56 94 57
56 84 55
56 5 53
56 49 44
57 73 84
57 29 69
57 27 79
58 11 85
58 4 38
59 76 90
59 57 5
59 89 62
59 87 67
60 8 12
60 64 20
60 57 79
60 5 82
60 32 5
61 51 55
61 28 14
61 67 53
62 90 79
62 77 57
63 81 15
63 47 67
63 66 50
64 28 79
64 77 56
64 9 40
64 82 23
64 98 70
65 18 56
65 73 31
65 50 70
65 95 87
66 38 59
66 78 21
67 14 96
67 37 59
67 27 49
67 54 15
68 83 18
68 2 81
69 86 54
69 64 65
69 43 83
70 92 28
70 94 6
70 93 78
70 2 50
70 69 38
70 16 79
70 81 76
71 73 42
71 42 86
71 98 80
71 3 78
71 15 34
72 26 9
72 76 11
72 82 82
72 4 78
73 28 55
73 56 60
73 47 60
74 70 92
74 57 88
74 84 19
75 87 96
75 27 30
75 41 3
75 13 58
75 62 68
75 51 68
75 7 46
75 74 20
76 2 7
76 0 36
76 39 46
77 17 33
77 23 70
77 91 55
77 86 57
78 86 83
78 76 65
78 68 12
79 58 89
79 41 81
79 16 77
79 21 93
80 63 60
80 38 36
80 23 18
81 51 47
81 70 36
82 98 46
82 3 8
82 9 58
83 89 13
84 3 17
84 88 35
84 51 9
84 43 99
85 96 55
85 39 6
85 45 10
85 10 68
86 10 35
87 13 63
87 40 86
89 97 40
89 84 51
90 81 54
90 89 82
91 56 10
91 66 16
91 83 43
91 18 38
92 6 37
92 41 100
92 84 78
93 84 81
93 45 79
94 87 68
94 67 5
94 96 43
95 43 29
95 2 46
96 79 7
96 65 15
96 72 98
96 82 25
97 70 27
97 9 74
98 62 25
98 36 100
98 52 74
99 46 66
99 36 31
99 33 91
0
